Transaction_ID,Date,Client,Product,Category,Quantity,UnitPrice
0,2020-03-13 23:09:57,Bryan Brown,,Lanches,4,13.67
1,2021-01-19 17:36:09,Sandra Roth,Produto E,Marmitas,4,10.9
2,2020-02-29 21:10:14,Brian Carlson,Produto E,Marmitas,5,19.64
3,2022-04-30 08:36:24,Diana Fritz MD,Produto F,Lanches,4,56.3
4,2023-02-05 10:44:56,Christopher Sanchez,Produto F,Lanches,3,95.19
5,2021-11-28 10:01:38,Karen Kemp,,Pizzas,1,47.82
6,2022-03-17 12:34:56,Aaron Little,Produto B,Refrigerantes,1,11.23
7,2020-11-23 01:54:18,Ashley Brown,Produto A,Pizzas,3,41.78
8,2020-03-05 19:24:10,Leah May,Produto F,Lanches,4,77.46
9,2023-10-17 12:06:10,Tracy Hall,,Marmitas,5,91.19
10,2021-02-14 20:23:05,Gary Hood,Produto B,Pizzas,4,59.81
11,2021-07-06 14:42:21,Kelly Paul,,Lanches,1,78.97
12,2021-12-05 10:49:11,Kelly French,Produto F,Pizzas,3,18.09
13,2022-11-02 21:25:42,Kathy Garcia,Produto F,Marmitas,4,35.11
14,2022-07-10 22:47:09,Amanda Lee,Produto D,Lanches,3,48.0
15,2022-12-15 21:52:29,Carolyn Underwood,Produto F,Lanches,5,72.23
16,2023-02-19 19:11:54,James Garcia,,Lanches,1,93.58
17,2021-12-26 02:57:40,Wendy Williams,,Marmitas,5,80.14
18,2023-02-24 19:50:03,Donald Wyatt,Produto C,Refrigerantes,5,90.91
19,2023-08-06 10:57:01,Cassandra York,Produto C,Refrigerantes,4,51.03
20,2022-05-09 03:58:23,Tammy Cervantes,,Marmitas,2,28.88
21,2020-05-09 19:58:19,Gail Jimenez,Produto B,Lanches,3,52.91
22,2022-09-16 12:09:56,Holly Wilson,Produto A,Refrigerantes,4,53.01
23,2023-11-15 22:46:00,David James,Produto D,Marmitas,4,77.96
24,2020-12-09 03:21:56,Christina Frederick,Produto B,Lanches,2,21.42
25,2022-06-02 03:08:08,Rachael Kim,Produto C,Pizzas,1,53.68
26,2021-03-14 18:43:55,Megan Smith,Produto B,Pizzas,1,94.65
27,2022-05-21 15:29:18,Jason Jackson,Produto A,Refrigerantes,1,78.19
28,2020-03-08 01:59:48,Luis Torres,Produto F,Pizzas,4,81.27
29,2020-05-16 10:23:00,Christina Gutierrez,Produto A,Pizzas,2,75.57
30,2022-03-24 23:20:55,David Washington,,Lanches,2,25.54
31,2022-12-13 07:42:41,Carol Harvey,Produto D,Refrigerantes,5,56.44
